Date,Open,High,Low,Close,Adj Close,Volume
2010-07-27,1190.000000,1239.900024,1182.000000,1207.500000,1112.233765,4499525
2010-07-28,1210.000000,1223.699951,1200.000000,1202.599976,1107.720337,848412
2010-07-29,1205.000000,1214.449951,1190.099976,1197.750000,1103.252930,1600687
2010-07-30,1199.000000,1212.900024,1192.550049,1198.599976,1104.035889,553516
2010-08-02,1211.000000,1218.500000,1202.199951,1209.900024,1114.444458,660849
2010-08-03,1223.449951,1224.000000,1210.050049,1213.199951,1117.484009,461037
2010-08-04,1214.000000,1221.000000,1206.400024,1213.599976,1117.852417,581630
2010-08-05,1218.000000,1240.949951,1217.500000,1225.750000,1129.043823,875377
2010-08-06,1230.000000,1235.550049,1218.500000,1221.400024,1125.036865,358993
2010-08-09,1216.699951,1234.000000,1215.750000,1232.099976,1134.892944,365489
2010-08-10,1230.000000,1237.949951,1222.000000,1227.250000,1130.425537,291160
2010-08-11,1227.000000,1234.900024,1211.050049,1215.199951,1119.326172,668240
2010-08-12,1209.000000,1232.699951,1203.500000,1226.000000,1129.274292,334170
2010-08-13,1230.000000,1254.400024,1222.500000,1249.150024,1150.597778,683945
2010-08-16,1249.000000,1271.800049,1245.000000,1256.550049,1157.413940,537805
2010-08-17,1260.000000,1267.000000,1245.449951,1253.550049,1154.650635,311850
2010-08-18,1258.849976,1264.150024,1251.000000,1254.349976,1155.387329,182885
2010-08-19,1261.800049,1267.849976,1250.050049,1251.650024,1152.900391,202683
2010-08-20,1248.000000,1257.000000,1238.000000,1239.699951,1141.893311,152662
2010-08-23,1240.400024,1252.750000,1236.000000,1245.099976,1146.867188,148100
2010-08-24,1255.000000,1255.000000,1225.000000,1233.050049,1141.267822,215635
2010-08-25,1236.400024,1242.000000,1216.099976,1220.050049,1129.235229,198994
2010-08-26,1223.650024,1234.750000,1212.599976,1227.199951,1135.853027,962065
2010-08-27,1218.000000,1245.000000,1210.050049,1218.699951,1127.985596,209560
2010-08-30,1222.000000,1247.800049,1222.000000,1235.349976,1143.396484,322578
2010-08-31,1234.349976,1264.449951,1228.000000,1257.500000,1163.897705,478908
2010-09-01,1262.000000,1281.150024,1262.000000,1272.750000,1178.012573,688890
2010-09-02,1276.000000,1291.949951,1273.500000,1276.699951,1181.668457,480517
2010-09-03,1277.000000,1284.000000,1213.650024,1272.099976,1177.410889,209238
2010-09-06,1280.000000,1313.000000,1277.349976,1302.550049,1205.594360,446653
2010-09-07,1305.000000,1328.750000,1304.449951,1315.400024,1217.488037,441540
2010-09-08,1319.699951,1336.900024,1303.000000,1307.500000,1210.175903,372456
2010-09-09,1312.000000,1321.000000,1307.500000,1314.800049,1216.932739,244342
2010-09-13,1325.000000,1333.000000,1314.150024,1328.150024,1229.288696,235561
2010-09-14,1330.150024,1367.900024,1330.150024,1346.500000,1246.273071,1528650
2010-09-15,1349.000000,1380.000000,1348.699951,1368.650024,1266.774292,1032922
2010-09-16,1360.000000,1405.400024,1358.900024,1397.300049,1293.291626,1238076
2010-09-17,1400.000000,1414.199951,1382.000000,1388.349976,1285.007813,322006
2010-09-20,1390.000000,1405.000000,1380.000000,1398.900024,1294.772583,542217
2010-09-21,1400.050049,1417.900024,1387.099976,1413.099976,1307.915527,582679
2010-09-22,1420.250000,1470.000000,1420.250000,1463.849976,1354.888062,1288474
2010-09-23,1465.000000,1470.000000,1444.449951,1458.599976,1350.028931,494100
2010-09-24,1465.000000,1485.000000,1460.099976,1481.750000,1371.455566,609319
2010-09-27,1494.000000,1495.000000,1472.000000,1479.099976,1369.002808,371002
2010-09-28,1452.000000,1484.599976,1452.000000,1468.099976,1358.821533,405994
2010-09-29,1452.000000,1481.949951,1425.199951,1430.050049,1323.604004,413917
2010-09-30,1440.000000,1497.250000,1390.349976,1440.900024,1333.646484,457480
2010-10-01,1456.000000,1491.800049,1451.000000,1479.949951,1369.789673,736838
2010-10-04,1490.000000,1498.000000,1475.300049,1480.150024,1369.974609,246301
2010-10-05,1486.000000,1524.000000,1478.199951,1503.349976,1391.447876,620564
2010-10-06,1510.000000,1529.000000,1507.000000,1516.699951,1403.804077,361329
2010-10-07,1519.050049,1524.400024,1485.000000,1490.099976,1379.183960,288753
2010-10-08,1492.000000,1507.000000,1472.300049,1497.199951,1385.755371,208208
2010-10-11,1508.099976,1526.250000,1495.000000,1517.250000,1404.313110,307964
2010-10-12,1519.949951,1529.000000,1503.250000,1520.050049,1406.904663,355625
2010-10-13,1525.000000,1566.800049,1518.000000,1558.400024,1442.400024,1201084
2010-10-14,1560.050049,1574.400024,1541.349976,1557.400024,1441.474609,647855
2010-10-15,1555.000000,1560.550049,1481.849976,1518.900024,1405.840332,597943
2010-10-18,1515.000000,1520.000000,1482.599976,1491.550049,1380.526245,388544
2010-10-19,1495.050049,1515.000000,1481.050049,1494.849976,1383.580566,243570
2010-10-20,1490.000000,1508.000000,1485.000000,1490.699951,1379.739502,151275
2010-10-21,1500.000000,1519.000000,1481.300049,1513.650024,1400.981079,208642
2010-10-22,1515.000000,1525.000000,1495.000000,1503.300049,1391.401489,133665
2010-10-25,1504.900024,1525.900024,1500.199951,1507.000000,1394.826050,151666
2010-10-26,1517.949951,1585.000000,1511.000000,1566.800049,1450.175049,2316413
2010-10-27,1567.150024,1570.000000,1507.199951,1525.599976,1412.041504,794179
2010-10-28,1529.699951,1549.000000,1515.000000,1534.800049,1420.556641,665095
2010-10-29,1534.800049,1559.000000,1516.050049,1551.599976,1436.106201,236775
2010-11-01,1560.000000,1560.000000,1482.500000,1508.300049,1396.029419,875788
2010-11-02,1509.849976,1524.000000,1488.000000,1493.400024,1382.238403,345655
2010-11-03,1497.550049,1508.599976,1487.000000,1496.099976,1384.737305,235501
2010-11-04,1501.000000,1514.000000,1496.050049,1507.599976,1395.381592,352793
2010-11-08,1515.000000,1519.000000,1486.000000,1488.599976,1377.795532,228488
2010-11-09,1490.000000,1506.000000,1466.000000,1471.949951,1362.385132,382790
2010-11-10,1475.000000,1478.000000,1460.050049,1475.099976,1365.300659,209770
2010-11-11,1485.000000,1487.500000,1465.199951,1470.400024,1360.950562,217656
2010-11-12,1463.000000,1469.000000,1444.050049,1454.500000,1346.233765,213197
2010-11-15,1452.000000,1459.150024,1424.000000,1436.900024,1329.943970,133347
2010-11-16,1444.949951,1449.349976,1385.550049,1400.650024,1296.392334,382476
2010-11-18,1409.849976,1437.699951,1376.699951,1430.349976,1323.881592,359749
2010-11-19,1433.900024,1433.900024,1397.099976,1405.400024,1300.788696,235528
2010-11-22,1410.000000,1428.000000,1395.000000,1420.949951,1315.181152,145576
2010-11-23,1415.000000,1453.849976,1396.900024,1441.500000,1334.201660,331033
2010-11-24,1440.000000,1467.000000,1403.150024,1416.050049,1310.646118,202980
2010-11-25,1416.150024,1427.900024,1371.349976,1380.099976,1277.371948,407030
2010-11-26,1386.000000,1389.900024,1336.000000,1367.000000,1265.246948,199109
2010-11-29,1370.000000,1417.400024,1365.300049,1406.050049,1301.390259,143095
2010-11-30,1406.050049,1428.750000,1376.449951,1422.000000,1316.152954,215559
2010-12-01,1420.000000,1446.500000,1402.150024,1414.099976,1308.841187,414015
2010-12-02,1437.300049,1437.300049,1403.400024,1408.849976,1303.981812,234362
2010-12-03,1410.000000,1419.800049,1391.300049,1400.599976,1296.345947,228411
2010-12-06,1417.000000,1417.000000,1391.000000,1408.099976,1303.287964,129508
2010-12-07,1410.000000,1446.699951,1408.699951,1428.650024,1322.307861,376506
2010-12-08,1430.000000,1444.699951,1392.150024,1417.150024,1311.664185,309194
2010-12-09,1406.000000,1415.000000,1383.250000,1391.150024,1287.599487,228112
2010-12-10,1390.000000,1418.849976,1365.699951,1413.250000,1308.054321,156706
2010-12-13,1420.000000,1434.050049,1402.000000,1421.849976,1316.014160,202845
2010-12-14,1420.050049,1435.000000,1406.000000,1413.849976,1308.609863,112041
2010-12-15,1414.000000,1414.949951,1387.599976,1395.000000,1291.162720,222327
2010-12-16,1398.000000,1399.000000,1365.250000,1378.000000,1275.428223,338077
2010-12-20,1380.500000,1422.000000,1346.000000,1414.849976,1309.535156,325141
2010-12-21,1416.599976,1454.800049,1402.500000,1423.300049,1317.356567,610373
2010-12-22,1425.050049,1431.000000,1384.199951,1394.099976,1290.329956,297205
2010-12-23,1390.250000,1399.949951,1385.099976,1392.349976,1288.709961,346689
2010-12-24,1391.000000,1398.449951,1368.000000,1391.500000,1287.923462,208168
2010-12-27,1398.000000,1407.800049,1386.699951,1394.349976,1290.561279,149330
2010-12-28,1400.000000,1406.000000,1386.050049,1395.199951,1291.348022,193304
2010-12-29,1394.099976,1424.000000,1386.349976,1417.900024,1312.358276,228653
2010-12-30,1422.000000,1439.500000,1413.000000,1420.449951,1314.718384,231775
2010-12-31,1420.800049,1430.500000,1415.000000,1421.599976,1315.782959,153415
2011-01-03,1430.000000,1450.000000,1418.500000,1426.050049,1319.901733,300162
2011-01-04,1427.000000,1453.400024,1404.050049,1428.750000,1322.400757,540328
2011-01-05,1428.000000,1435.000000,1406.349976,1412.449951,1307.313843,275096
2011-01-06,1415.050049,1425.000000,1366.300049,1373.900024,1271.633301,353272
2011-01-07,1365.000000,1367.699951,1337.550049,1340.550049,1240.765869,493731
2011-01-10,1349.000000,1350.000000,1318.199951,1326.000000,1227.298706,254474
2011-01-11,1325.000000,1330.699951,1305.949951,1318.449951,1220.310669,394195
2011-01-12,1324.000000,1328.900024,1294.900024,1317.650024,1219.570435,316610
2011-01-13,1320.000000,1325.000000,1301.599976,1315.550049,1217.626709,263445
2011-01-14,1316.000000,1319.000000,1263.300049,1269.699951,1175.189575,468849
2011-01-17,1270.000000,1280.000000,1255.000000,1269.599976,1175.097046,206244
2011-01-18,1276.000000,1285.050049,1268.050049,1277.599976,1182.501709,210065
2011-01-19,1284.000000,1284.000000,1266.500000,1272.699951,1177.966187,233334
2011-01-20,1267.550049,1268.000000,1245.099976,1259.250000,1165.517334,186731
2011-01-21,1264.000000,1267.699951,1238.199951,1248.650024,1155.706543,361853
2011-01-24,1269.000000,1299.949951,1255.000000,1292.500000,1196.292725,285343
2011-01-25,1305.000000,1305.000000,1276.050049,1288.150024,1192.266357,237024
2011-01-27,1299.800049,1299.800049,1263.099976,1269.699951,1175.189575,188751
2011-01-28,1272.000000,1272.000000,1220.000000,1229.349976,1137.843140,609439
2011-01-31,1199.000000,1264.449951,1150.300049,1252.849976,1159.593628,1056178
2011-02-01,1266.000000,1275.000000,1233.599976,1242.400024,1149.921631,331423
